id_dpto;divipola;nombre;latitud;Longitud;SubregionPDET;zonaReservaCampesina;zomac ;ruralidad;restitucionTierras;zonaNucleoReforma;mape
13;13688;Santa rosa del sur;7,963938;-74,052243;SUR DE BOLÍVAR;Sin zona;true;Rural;true;No ZNRA;Presencia
13;13744;Simití;7,953916;-73,947264;SUR DE BOLÍVAR;Sin zona;true;Rural;true;Magdalena Medio;Presencia
13;13760;Soplaviento;10,38839;-75,136404;No PDET;Sin zona;false;Intermedio;true;No ZNRA;Ausencia
13;13780;Talaigua nuevo;9,30403;-74,567479;No PDET;Sin zona;false;Rural;true;No ZNRA;Ausencia
13;13810;Tiquisio;8,558666;-74,262922;No PDET;Sin zona;true;Rural disperso;true;No ZNRA;Ausencia
13;13836;Turbaco;10,348316;-75,427249;No PDET;Sin zona;false;Ciudades y aglomeraciones;true;No ZNRA;Ausencia
13;13838;Turbaná;10,274585;-75,44265;No PDET;Sin zona;false;Ciudades y aglomeraciones;true;No ZNRA;Ausencia
13;13873;Villanueva;10,444089;-75,275613;No PDET;Sin zona;false;Ciudades y aglomeraciones;true;No ZNRA;Ausencia
13;13894;Zambrano;9,746306;-74,817879;MONTES DE MARÍA;Montes de Maria II;true;Rural;true;Sucre;Ausencia
15;15001;Tunja;5,53988;-73,355539;No PDET;Sin zona;false;Ciudades y aglomeraciones;true;No ZNRA;Ausencia
15;15022;Almeida;4,970857;-73,378933;No PDET;Sin zona;false;Rural disperso;true;No ZNRA;Ausencia
15;15047;Aquitania;5,518602;-72,88399;No PDET;Sin zona;false;Rural;true;No ZNRA;Ausencia
15;15051;Arcabuco;5,755673;-73,437503;No PDET;Sin zona;false;Rural;true;No ZNRA;Ausencia
15;15087;Belén;5,98923;-72,911641;No PDET;Sin zona;false;Intermedio;true;No ZNRA;Ausencia
15;15090;Berbeo;5,227451;-73,12721;No PDET;Sin zona;false;Rural disperso;true;No ZNRA;Ausencia
15;15092;Betéitiva;5,909978;-72,809014;No PDET;Sin zona;false;Rural disperso;false;No ZNRA;Ausencia
15;15097;Boavita;6,330703;-72,584905;No PDET;Sin zona;false;Rural;true;No ZNRA;Ausencia
15;15104;Boyacá;5,454578;-73,361945;No PDET;Sin zona;false;Rural;false;No ZNRA;Ausencia
15;15106;Briceño;5,690879;-73,92326;No PDET;Sin zona;false;Rural;true;No ZNRA;Ausencia
15;15109;Buenavista;5,512594;-73,94217;No PDET;Sin zona;false;Rural;true;No ZNRA;Ausencia
15;15114;Busbanzá;5,831393;-72,884158;No PDET;Sin zona;false;Rural;false;No ZNRA;Ausencia
15;15131;Caldas;5,55458;-73,865553;No PDET;Sin zona;false;Rural disperso;true;No ZNRA;Ausencia
15;15135;Campohermoso;5,031676;-73,104173;No PDET;Sin zona;false;Rural disperso;true;No ZNRA;Ausencia
15;15162;Cerinza;5,955939;-72,947918;No PDET;Sin zona;false;Intermedio;false;No ZNRA;Ausencia
15;15172;Chinavita;5,167486;-73,368476;No PDET;Sin zona;false;Rural;false;No ZNRA;Ausencia
15;15176;Chiquinquirá;5,61379;-73,818745;No PDET;Sin zona;false;Intermedio;true;No ZNRA;Ausencia
15;15180;Chiscas;6,553136;-72,500957;No PDET;Sin zona;false;Rural disperso;true;No ZNRA;Ausencia
15;15183;Chita;6,187083;-72,471892;No PDET;Sin zona;false;Rural disperso;true;No ZNRA;Ausencia
15;15185;Chitaraque;6,027425;-73,4471;No PDET;Sin zona;false;Rural disperso;true;No ZNRA;Ausencia
15;15187;Chivatá;5,558949;-73,282529;No PDET;Sin zona;false;Intermedio;false;No ZNRA;Ausencia
15;15189;Ciénega;5,408694;-73,296049;No PDET;Sin zona;false;Rural;false;No ZNRA;Ausencia
15;15204;Cómbita;5,634545;-73,323957;No PDET;Sin zona;false;Rural;false;No ZNRA;Ausencia
15;15212;Coper;5,475074;-74,045636;No PDET;Sin zona;false;Rural disperso;false;No ZNRA;Ausencia
15;15215;Corrales;5,828064;-72,844795;No PDET;Sin zona;false;Rural;false;No ZNRA;Ausencia
15;15218;Covarachía;6,500177;-72,738978;No PDET;Sin zona;false;Rural disperso;true;No ZNRA;Ausencia
15;15223;Cubará;6,997275;-72,107939;No PDET;Sin zona;false;Rural disperso;true;No ZNRA;Ausencia
15;15224;Cucaita;5,544452;-73,454338;No PDET;Sin zona;false;Intermedio;false;No ZNRA;Ausencia
15;15226;Cuítiva;5,580367;-72,965923;No PDET;Sin zona;false;Rural disperso;true;No ZNRA;Ausencia
15;15232;Chíquiza;5,639834;-73,449463;No PDET;Sin zona;false;Rural disperso;false;No ZNRA;Ausencia
15;15236;Chivor;4,888173;-73,368398;No PDET;Sin zona;true;Rural disperso;true;No ZNRA;Ausencia
15;15238;Duitama;5,822964;-73,03063;No PDET;Sin zona;false;Ciudades y aglomeraciones;false;No ZNRA;Ausencia
15;15244;El cocuy;6,407738;-72,444537;No PDET;Sin zona;false;Rural;true;No ZNRA;Ausencia
15;15248;El espino;6,483027;-72,497007;No PDET;Sin zona;false;Intermedio;true;No ZNRA;Ausencia
15;15272;Firavitoba;5,668885;-72,993392;No PDET;Sin zona;false;Intermedio;false;No ZNRA;Ausencia
15;15276;Floresta;5,859519;-72,918111;No PDET;Sin zona;false;Rural;true;No ZNRA;Ausencia
15;15293;Gachantivá;5,751891;-73,549092;No PDET;Sin zona;false;Rural disperso;true;No ZNRA;Ausencia
15;15296;Gámeza;5,802333;-72,80553;No PDET;Sin zona;false;Rural;false;No ZNRA;Ausencia
15;15299;Garagoa;5,083234;-73,364413;No PDET;Sin zona;false;Intermedio;true;No ZNRA;Ausencia
15;15317;Guacamayas;6,459667;-72,500812;No PDET;Sin zona;false;Rural disperso;true;No ZNRA;Ausencia
15;15322;Guateque;5,007321;-73,471207;No PDET;Sin zona;false;Intermedio;true;No ZNRA;Ausencia
15;15325;Guayatá;4,967122;-73,489698;No PDET;Sin zona;false;Rural;true;No ZNRA;Ausencia
15;15332;Güicán de la sierra;6,462864;-72,411763;No PDET;Sin zona;false;Rural disperso;true;No ZNRA;Ausencia
15;15362;Iza;5,611577;-72,979559;No PDET;Sin zona;false;Intermedio;false;No ZNRA;Ausencia
15;15367;Jenesano;5,385813;-73,363738;No PDET;Sin zona;false;Intermedio;true;No ZNRA;Ausencia
15;15368;Jericó;6,145735;-72,571122;No PDET;Sin zona;false;Rural disperso;true;No ZNRA;Ausencia
15;15377;Labranzagrande;5,562687;-72,57777;No PDET;Sin zona;true;Rural disperso;true;No ZNRA;Ausencia
15;15380;La capilla;5,095687;-73,444347;No PDET;Sin zona;false;Rural;false;No ZNRA;Ausencia
15;15401;La victoria;5,523792;-74,234393;No PDET;Sin zona;false;Rural;true;No ZNRA;Ausencia
15;15403;La uvita;6,31616;-72,559982;No PDET;Sin zona;false;Rural;false;No ZNRA;Ausencia
15;15407;Villa de leyva;5,632455;-73,524948;No PDET;Sin zona;false;Intermedio;true;No ZNRA;Ausencia
15;15425;Macanal;4,972464;-73,319593;No PDET;Sin zona;false;Rural disperso;true;No ZNRA;Ausencia
15;15442;Maripí;5,550091;-74,00405;No PDET;Sin zona;false;Rural;true;No ZNRA;Ausencia
15;15455;Miraflores;5,196515;-73,14563;No PDET;Sin zona;false;Rural;true;No ZNRA;Ausencia
15;15464;Mongua;5,754242;-72,79809;No PDET;Sin zona;false;Rural;true;No ZNRA;Ausencia
15;15466;Monguí;5,723486;-72,849292;No PDET;Sin zona;false;Intermedio;false;No ZNRA;Ausencia
15;15469;Moniquirá;5,876331;-73,573374;No PDET;Sin zona;false;Intermedio;true;No ZNRA;Ausencia
15;15476;Motavita;5,5777;-73,367841;No PDET;Sin zona;false;Intermedio;false;No ZNRA;Ausencia
15;15480;Muzo;5,532758;-74,10269;No PDET;Sin zona;false;Intermedio;true;No ZNRA;Ausencia
15;15491;Nobsa;5,768046;-72,937042;No PDET;Sin zona;false;Intermedio;false;No ZNRA;Ausencia
15;15494;Nuevo colón;5,355317;-73,456759;No PDET;Sin zona;false;Intermedio;false;No ZNRA;Ausencia
